"AFS_NAME","species","NAME","FUS_NAME"
"ALEWIFE","0010","Alewive","Alewive"
,"0011","Alewives","Alewive"
"HERRING, BLUEBACK","0012","Herring, Blueback","Alewive"
"ALFONSIN","0016","Alfonsin","Other marine finfishes"
"AMBERJACK","0030","Amberjack","Other marine finfishes"
"AMBERJACK, PACIFIC","0031","Amberjack, Pacific","Other marine finfishes"
"ANCHOVIES","0060","Anchovies","Anchovies"
"ANCHOVY, NORTHERN","0061","Anchovy,Northern","Anchovies"
"ANCHOVY, BAY","0062","Anchovy,Bay","Anchovies"
"ANCHOVY, DEEPBODY","0063","Anchovy,Deepbody","Anchovies"
"ANCHOVY, SLOUGH","0064","Anchovy,Slough","Anchovies"
"BUTTERFLYFISHES","0090","Angelfishes","Other marine finfishes"
"GOOSEFISH","0119","Goosefish (Livers only landed)","Goosefish (Anglerfish)"
"GOOSEFISH","0120","Goosefish (Anglerfish)","Goosefish (Anglerfish)"
"GOOSEFISH","0120","Goosefish (Anglerfish)","Goosefish (Anglerfish)"
"GOOSEFISH","0120","Goosefish (Anglerfish)","Goosefish (Anglerfish)"
"GOOSEFISH","0120","Goosefish (Anglerfish)","Goosefish (Anglerfish)"
"GOOSEFISH","0120","Goosefish (Anglerfish)","Goosefish (Anglerfish)"
"GOOSEFISH","0120","Goosefish (Anglerfish)","Goosefish (Anglerfish)"
"GOOSEFISH","0120","Goosefish (Anglerfish)","Goosefish (Anglerfish)"
"GOOSEFISH","0120","Goosefish (Anglerfish)","Goosefish (Anglerfish)"
"GOOSEFISH, BLACKFIN","0123",,
"ARCTIC CHAR","0125","Arctic Char","Other freshwater finfishes"
"ARMORHEAD, PELAGIC","0126","Armorhead","Other marine finfishes"
"SCAD, BIGEYE","0130","Bigeye Scad","Other marine finfishes"
"BIGEYE","0140","Bigeye","Other marine finfishes"
"BIGEYE, SHORT","0145","Short Bigeye","Other marine finfishes"
"GLASSEYE SNAPPER","0147","Glasseye snapper","Other marine finfishes"
"BALLYHOO","0150","Ballyhoo","Other marine finfishes"
"BARRACUDAS","0180","Barracuda","Other marine finfishes"
"BARRACUDA, PACIFIC","0181","Barracuda, Pacific","Other marine finfishes"
"NEEDLEFISH, ATLANTIC","0190","Needlefish, Atlantic","Other marine finfishes"
"BLACK DRIFTFISH","0192","Black Driftfish","Other marine finfishes"
"BARRELFISH","0193","Barrelfish","Other marine finfishes"
"SACRAMENTO BLACKFISH","0194","Blackfish,Sacramento","Other freshwater finfishes"
"BLACKSMITH","0195","Blacksmith","Other marine finfishes"
"BLUEFISH","0230","Bluefish","Bluefish"
"BLUEFISH","0230","Bluefish","Bluefish"
"BLUEFISH","0230","Bluefish","Bluefish"
"BLUEFISH","0230","Bluefish","Bluefish"
"BLUEFISH","0230","Bluefish","Bluefish"
"PIKE, BLUE","0240","Blue Pike (extinct)","Other freshwater finfishes"
"RUNNER, BLUE","0270","Blue Runner","Blue Runner"
"BONEFISH","0300","Bonefish","Other marine finfishes"
"BONITO, ATLANTIC","0330","Bonito,Atlantic","Bonito"
"BONITO, PACIFIC","0331","Bonito,Pacific","Bonito"
"BONITO, STRIPED","0332","Bonito,Striped","Bonito"
"BONITOS","0333","Bonito,Unc","Bonito"
"BUTTERFLYFISHES","0340","Butterfly Fish","Other marine finfishes"
"BOWFIN","0360","Bowfin","Other freshwater finfishes"
"BOXFISHES","0370","Boxfish","Other marine finfishes"
"TROUT, BROWN","0390","Brown Trout","Other freshwater finfishes"
"BUFFALOFISHES","0420","Buffalofishes","Other freshwater finfishes"
"CATFISHES & BULLHEADS","0450","Bullheads","Catfish & bullheads"
"BURBOT","0480","Burbot","Other freshwater finfishes"
"BUTTERFISH","0510","Butterfish,Lg","Butterfish"
"BUTTERFISH","0510","Butterfish,Lg","Butterfish"
"BUTTERFISH","0510","Butterfish,Lg","Butterfish"
"BUTTERFISH","0515","Butterfish,Md","Butterfish"
"BUTTERFISH","0517","Butterfish,Supersmall","Butterfish"
"BUTTERFISH","0518","Butterfish,Super super small","Butterfish"
"BUTTERFISH","0520","Butterfish,Sm","Butterfish"
"BUTTERFISH","0521","Butterfish,Unc","Butterfish"
"POMPANO, PACIFIC","0525","Butterfish,Pac.","Butterfish"
"CIGARFISHES","0530","Cigarfishes","Other marine finfishes"
"CIGARFISH, CAPE FATHEAD","0535","Cape Flathead Cigarfish","Other marine finfishes"
"CABEZON","0540","Cabezon","Other marine finfishes"
"COBIA","0570","Cobia","Other marine finfishes"
"SPOTTED CABRILLA","0600","Cabrilla","Other marine finfishes"
"CARP, COMMON","0630","Carp","Other freshwater finfishes"
"CATFISHES & BULLHEADS","0660","Catfishes","Catfish & bullheads"
