"STATE","NAME"
"01","Alabama"
"02","Alaska"
"03","Arizona"
"04","Arkansas"
"05","California"
"06","Colorado"
"07","Connecticut"
"08","Delaware"
"10","Florida East Coast"
"11","Florida West Coast"
"12","Florida Inland Lakes"
"13","Georgia"
"14","Hawaii"
"15","Idaho"
"16","Illinois"
"17","Indiana"
"18","Iowa"
"19","Kansas"
"20","Kentucky"
"21","Louisiana"
"22","Maine"
"23","Maryland"
"24","Massachusetts"
"25","Michigan"
"26","Minnesota"
"27","Mississippi"
"28","Missouri"
"29","Montana"
"30","Nebraska"
"31","Nevada"
"32","New Hampshire"
"33","New Jersey"
"34","New Mexico"
"35","New York"
"36","North Carolina"
"37","North Dakota"
"38","Ohio"
"39","Oklahoma"
"40","Oregon"
"41","Pennsylvania"
"42","Rhode Island"
"43","South Carolina"
"44","South Dakota"
"45","Tennessee"
"46","Texas"
"47","Utah"
"48","Vermont"
"49","Virginia"
"50","Washington"
"51","West Virginia"
"52","Wisconsin"
"53","Wyoming"
"54","Virgin Islands"
"55","Puerto Rico"
"56","American Samoa"
"99","Combined States"
"09","District of Columbia"
"98","At-Sea Process, Pac."
"57","Guam"
"58","CNMI"
