"","QE_Total","QE3_Shellfish","QE2_Other","V3_Shellfish","V2_Other","QE1_Finfish","V1_Finfish","VV1_Finfish","PC1_Finfish","PI1_Finfish","Q1_Finfish","VV2_Other","PC2_Other","PI2_Other","Q2_Other","VV3_Shellfish","PC3_Shellfish","PI3_Shellfish","Q3_Shellfish","VV_Total","R1_Finfish","R2_Other","V_Total","R3_Shellfish","PC_Total","QC1_Finfish","QC2_Other","QC3_Shellfish","QC_Total","PI_Total","Q_Total","QI_Total","QEI_Total"
"1981",18338000,5094000,4025000,961000,3650000,9157000,8715000,8715000,0,1.58476979773995,5499221.40895701,3650000,0,2.09750287712691,1740164.47834372,866000,0,4.28493696597772,202103.323077099,13231000,0.653984691580369,0.273900645354945,13326000,0.0721146630646856,0,0,0,0,0,1.61247304178004,8264324.21176427,0.285645600154163,0.242278150245826
"1982",14426000,778000,3735000,290000,3005000,9858000,10885000,10885000,0.0137784217749321,1.60675654795003,6774517.28072154,3000000,-0.111922787705943,1.87540520113346,1599654.30307373,200000,0.436378523326362,6.62920153539178,30169.5458996451,14085000,0.767630465444288,0.211918194640339,14180000,0.0204513399153738,0.00280361501672231,0.148247161558875,-0.0204510520467233,-0.0880277725761225,0.0397683369360289,1.61700013856696,8769325.16070579,0.303100300071851,0.190593554119658
"1983",17896000,798000,1624000,308000,224000,15354000,28191000,28191000,0.481681585307214,2.60100826957495,10838489.1850447,224000,-1.77128093788451,0.319034448008911,702118.537349118,302000,0.0958182108442735,7.29582725428743,41393.5239245869,28717000,0.981478257842147,0.00779862827699057,28723000,0.010723113880862,0.228160161464039,0.410984139532742,-0.0904618738198734,0.00493010644094059,0.32545237215381,2.03141547369913,14139401.9942639,0.488710010036049,0.236438530744863
"1984",29402000,3873000,8400000,1340000,4400000,17129000,29084000,29084000,-0.130115701006452,2.28366923918497,12735644.681355,4400000,1.33437430394153,1.21157129660527,3631647.6069782,940000,-0.0613525582873114,6.86166427112782,136993.003862822,34424000,0.83517114633586,0.126349643923731,34824000,0.0384792097404089,-0.0301946458963116,0.146513789704388,0.110225574874793,0.0294428036992028,0.286182168278384,1.97099438992302,17668239.0259671,0.610679664896904,0.388453603093455
"1985",22022000,5940000,3625000,2046000,2109000,12108000,12613000,12613000,-0.214706370463016,1.842414785044,6845906.85137103,2109000,0.104986778115052,1.34568730170159,1567228.87801142,1996000,-0.0808867211583611,6.32850034823127,315398.576308501,16718000,0.752206583969466,0.125775286259542,16768000,0.122018129770992,-0.163666215236485,-0.492685376060851,-0.105940048862767,0.0669199517465134,-0.531705473177105,1.67342423392036,10020172.8050258,0.346334219374606,0.290950453959733
"1986",20082000,6237000,3177000,2324000,1614000,10309000,6436000,6436000,-0.377188341792108,1.26350392284089,5093771.28448416,1614000,-0.135581398629621,1.17506502781752,1373541.00563925,2324000,0.0762390387281253,6.82984742921412,340271.144280512,10374000,0.620397146712936,0.155581260844419,10374000,0.224021592442645,-0.264747551750199,-0.202893106819966,-0.0185578463894216,0.0131331802400763,-0.208317772969311,1.28418517848102,8078274.20362436,0.279215023996689,0.26531954483786
"1987",27326000,2598000,3947000,560000,2081000,20450000,12717000,12717000,0.00989044152049335,1.27606253724699,9965812.51216412,2069000,0.0471642003834172,1.2318137654429,1679637.01822742,552000,-0.274719121597831,5.18921904798894,106374.387917566,15338000,0.828037504883448,0.135499413986196,15358000,0.0364630811303555,-0.0217529376101754,0.486052671994005,0.0292806242596917,-0.151442917384434,0.363890378869263,1.25655201924467,12222335.2195414,0.422449094397999,0.361025887971286
"1988",39749000,5508000,7787000,1531000,5180000,26148000,14245000,14245000,-0.0835200161051554,1.1738150586078,12135642.5746448,5180000,0.222406964732747,1.53863345254587,3366623.79946896,1531000,0.219333145184153,6.46185454969631,236928.886007184,20956000,0.679757587325826,0.247184577209391,20956000,0.0730578354647834,-0.008398959175353,0.148507490460302,0.133046345040002,0.0438519123842925,0.325405747884596,1.24604248648231,16818046.1158758,0.58129385453577,0.525156189013052
"1989",47109000,7933000,4082000,1847000,2845000,34852000,19611000,19611000,0.0123205944573867,1.18836661575691,16502483.1057788,2845000,0.0466266235140985,1.61207356277408,1764807.80139107,1847000,-0.186107756079607,5.3645291154544,344298.625331172,24303000,0.806937415133934,0.117063736987203,24303000,0.0759988478788627,0.00378001517653267,0.228478314064998,-0.117628276594483,0.0278549185574326,0.138704956027948,1.25076145926726,19430563.5338632,0.671592115670289,0.62239510197026
"1990",65009000,6323000,4848000,1243000,3072000,53548000,22135000,22135000,-0.330303387445544,0.854085805864218,25916599.7702098,3072000,-0.0952134366722288,1.4656632066944,2095979.47602742,1243000,-0.173149972275443,4.51163055469798,275510.147590799,26450000,0.836862003780718,0.116143667296786,26450000,0.0469943289224953,-0.293226629960519,0.370983189886938,0.0200534095899942,-0.0137066619653753,0.377329937511557,0.932884297853742,28352926.5749812,0.979981970710763,0.858886479950426
