"","QE_Total","VV_Total","V_Total","PC_Total","QC_Total","PI_Total","Q_Total","QI_Total","QEI_Total"
"1950",60576490,1006482900,1006483400,0,0,19.7215151225756,51034790.8740469,0.089004318799968,0.0661011256393986
"1951",67431668,916627600,916629100,-0.244459275396937,0.150304748574771,15.4444683340112,59349993.8085559,0.103505974635024,0.0735815026348046
"1952",67295992,954281200,954281700,0.0608877374685191,-0.0206380871823248,16.4140658344004,58138045.114942,0.101392344578973,0.0734334528497766
"1953",60111970,863721300,863721300,0.046009758660327,-0.144047558566766,17.1869160354205,50254583.092159,0.0876436418782039,0.0655942409572057
"1954",57601534,966367700,966368000,0.04201406836613,0.0702149170827078,17.9243920052286,53913572.0596886,0.094024893079082,0.0628548507177635
"1955",57242953,955355900,955355900,0.0430500576627953,-0.0545078035980359,18.7128887564461,51053362.8684617,0.0890367082284996,0.0624635667768666
"1956",59272509,1015172500,1015172500,-0.032731786667488,0.0934696148237857,18.1102982052414,56054985.3180325,0.0977595028435955,0.0646782202859787
"1957",60809755,1030780900,1030780900,0.00347744275679321,0.0118024073742142,18.1733853579658,56719256.192308,0.0989179866083172,0.0663556646374864
"1958",65480052,997462900,997462900,-0.105464760383091,0.0725543589029212,16.354341879429,60990708.6053179,0.106367369779979,0.0714518973305709
"1959",66236498,932893500,932905000,0.0166736467362776,-0.0835718797844756,16.6293144256717,56100027.7052803,0.0978380564523289,0.0722773319519136
"1960",61475975,851905900,851912700,0.0178550749904436,-0.12224967406976,16.9288986723722,50322984.1755929,0.0877629328899226,0.0670826445586321
"1961",60860267,760283600,760283600,0.015149690528504,-0.128499263946197,17.1873187981644,44235148.5376065,0.0771457900615644,0.0664107833817104
"1962",65774625,871676200,871676200,-0.00113385484884627,0.137850862584563,17.1678419174709,50773778.3345345,0.0885491147542635,0.0717733356787316
"1963",68289224,828882200,828882200,0.00374467067582047,-0.054082515083376,17.2322503505876,48100635.9086315,0.0838871730357213,0.0745172685878802
"1964",67595000,681854190,681854190,-0.0918968451037789,-0.103662650675664,15.7192457165508,43377029.8076118,0.0756492369905199,0.0737597306743119
"1965",74837045,702179276,702179276,-0.0808062023916928,0.111425755101402,14.498998833112,48429500.8284574,0.0844607111587353,0.0816622573217156
"1966",78247363,684368500,684368500,-0.155688910247341,0.129999055190178,12.4086112942952,55152706.7589452,0.0961859353390754,0.0853835996871828
"1967",70256504,625339500,625339500,0.0511230263088082,-0.140785589501783,13.0594722986847,47883979.206647,0.0835093252608344,0.0766639664643645
"1968",75656127,634719200,634719200,-0.0212852336042577,0.0362480835800972,12.7844358713107,49647806.6290245,0.0865854279649066,0.0825560404080411
"1969",80577001,568218100,568237100,-0.139795335286424,0.0294131706310446,11.116529538179,51116411.6506347,0.0891466648642058,0.0879257029706896
"1970",91031805,531237400,531237800,-0.168429862065645,0.100901062674894,9.39336215544179,56554595.8102171,0.0986308200521239,0.0993339954078923
