"","rep_len.x...NA..length.out...nrow.temp..","Q1_1Salmon","Q1_2Cod","Q2_1Shrimp","Q2_2Clam","Q1_3Flounder","Q1_4SeaBass","QE0_0Total","REMOVED_QE1_0Finfish","QE2_0Shellfish","V1_1Salmon","V1_2Cod","V2_1Shrimp","V2_2Clam","V1_3Flounder","V1_4SeaBass","REMOVED_V0_0Total","REMOVED_V1_0Finfish","V2_0Shellfish","QE1_0Finfish","V1_0Finfish","P1_1Salmon","P1_2Cod","P1_3Flounder","P1_4SeaBass","VV1_0Finfish","R1_1Salmon","R1_2Cod","PC1_0Finfish","PI1_0Finfish","Q1_0Finfish","REMOVED_QE2_0Shellfish","REMOVED_V2_0Shellfish","P2_1Shrimp","P2_2Clam","VV2_0Shellfish","R2_1Shrimp","R2_2Clam","PC2_0Shellfish","PI2_0Shellfish","Q2_0Shellfish","VV0_0Total","R1_0Finfish","V0_0Total","R2_0Shellfish","PC0_0Total","QC1_0Finfish","QC2_0Shellfish","QC0_0Total","PI0_0Total","Q0_0Total","QI0_0Total","QEI0_0Total"
"2007",NA,NA,2000,100,150,NA,1000,3250,3000,250,NA,2800,800,1000,1000,NA,5600,3800,1800,3000,3800,5,1.4,NA,NA,2800,NA,1,0,1.16311109038311,3267.0997907417,250,1800,8,6.66666666666667,1800,0.444444444444444,0.555555555555556,0,1.04511786775543,1722.29377712756,4600,0.678571428571429,5600,0.321428571428571,0,0,0,0,1.13653588339727,4927.2531398312,1.26664605137049,1.24521072796935
"2008",NA,NA,1900,120,160,NA,1200,3380,3100,280,NA,2700,1000,1200,1200,120,6220,4020,2200,3100,4020,5,1.42105263157895,NA,0.1,2700,NA,1,0.0149256502166758,1.1806014827197,3405.04400412857,280,2200,8.33333333333333,7.5,2200,0.454545454545455,0.545454545454545,0.0831894363578208,1.13577939571099,1936.99587112408,4900,0.646302250803859,6220,0.353697749196141,0.0379689896013675,0.0273951985078227,0.0396573451007326,0.0670525436085554,1.18051871044846,5268.87032365383,1.35446537883132,1.29501915708812
"2009",NA,NA,2000,110,140,NA,900,3150,2900,250,NA,2900,900,900,900,110,5710,3910,1800,2900,3910,5,1.45,NA,0.122222222222222,2900,NA,1,0.0201656695945944,1.2046507721825,3245.75394818876,250,1800,8.18181818181818,6.42857142857143,1800,0.5,0.5,-0.0893363079104334,1.03871336645407,1732.91310012193,4700,0.68476357267951,5710,0.31523642732049,-0.0164591379800399,-0.0318858137289683,-0.0372376884274459,-0.0691235021564143,1.16124741957554,4917.12610400212,1.26404270025761,1.20689655172414
"2010",NA,20,2500,90,NA,NA,NA,2610,2520,90,100,3000,700,NA,NA,90,3890,3190,700,2520,3190,5,1.2,NA,NA,3100,0.032258064516129,0.967741935483871,-0.186189709321778,1,3190,90,700,7.77777777777778,6.42857142857143,700,1,NA,-0.0379827996140662,1,700,3800,0.820051413881748,3890,0.179948586118252,-0.149494789034114,-0.0130367749381506,-0.22443736066445,-0.237474135602601,1,3890,1,1
"2011",NA,10,2400,80,NA,NA,NA,2490,2410,80,100,3100,900,NA,NA,80,4180,3280,900,2410,3280,10,1.29166666666667,NA,NA,3200,0.03125,0.96875,0.0932845632518409,1.09777407698662,2987.86432359887,80,900,11.25,6.42857142857143,900,1,NA,0.369097463937289,1.44642857142857,622.222222222222,4100,0.784688995215311,4180,0.215311004784689,0.147793410397183,-0.0525248045888375,-0.0232774372444243,-0.0758022418332618,1.15927337779613,3605.70688507185,0.926916937036466,0.954022988505747
"2012",NA,12,2300,100,NA,NA,NA,2412,2312,100,150,2900,1000,NA,NA,100,4150,3150,1000,2312,3150,12.5,1.26086956521739,NA,NA,3050,0.0491803278688525,0.950819672131147,-0.0141875428952269,1.0823093230131,2910.4433760494,100,1000,10,6.42857142857143,1000,1,NA,-0.117783035656384,1.28571428571429,777.777777777778,4050,0.759036144578313,4150,0.240963855421687,-0.0378215523840305,-0.0202640373729198,0.0509073963409226,0.0306433589680028,1.11624665661812,3717.81628674545,0.955736834638933,0.924137931034483
"2013",NA,11,2000,100,140,NA,1000,3251,3011,240,180,2800,1200,1000,1000,100,6280,4080,2200,3011,4080,16.3636363636364,1.4,NA,0.1,2980,0.0604026845637584,0.939597315436242,0.113692718612674,1.21262779834153,3364.5938230841,240,2200,12,7.14285714285714,2200,0.545454545454545,0.454545454545455,0.140884839340783,1.48023264445462,1486.25285913119,5180,0.64968152866242,6280,0.35031847133758,0.121731828819491,0.102133311105909,0.191449093488066,0.293582404593975,1.26074609780569,4981.17742416988,1.28050833526218,1.2455938697318
"2014",NA,11,2300,110,110,NA,900,3431,3211,220,170,3200,1100,900,900,NA,6270,4270,2000,3211,4270,15.4545454545455,1.39130434782609,NA,NA,3370,0.0504451038575668,0.949554896142433,-0.00905317030229714,1.20169921616965,3553.30181009055,220,2000,10,8.18181818181818,2000,0.55,0.45,-0.038443155674295,1.42440774808178,1404.0923343006,5370,0.681020733652313,6270,0.318979266347687,-0.0188884956623378,0.0363082172997577,-0.0190304852995612,0.0172777320001964,1.23715599276403,5068.07551890987,1.30284717709765,1.31455938697318
"2015",NA,10,2400,90,130,NA,1000,3630,3410,220,200,3500,1000,1000,1000,NA,6700,4700,2000,3410,4700,20,1.45833333333333,NA,NA,3700,0.0540540540540541,0.945945945945946,0.0580655310475238,1.27354213352391,3690.49431210809,220,2000,11.1111111111111,7.69230769230769,2000,0.5,0.5,0.0260098254428224,1.4619423633397,1368.04298866553,5700,0.701492537313433,6700,0.298507462686567,0.0481685446471577,0.0261869791063202,-0.00803036101772013,0.0181566180886001,1.29820655099367,5160.96609963314,1.32672650376173,1.39080459770115
"2016",NA,15,2200,100,160,NA,1100,3575,3315,260,180,3200,1200,1100,1100,NA,6780,4480,2300,3315,4480,12,1.45454545454545,NA,NA,3380,0.0532544378698225,0.946745562130177,-0.0298692023802301,1.23606493904318,3624.40504417827,260,2300,12,6.875,2300,0.521739130434783,0.478260869565217,-0.0156265694611777,1.43927478892753,1598.02701867226,5680,0.660766961651917,6780,0.339233038348083,-0.0253276504533056,-0.0123081916048283,0.0495487736967669,0.0372405820919385,1.26573892916133,5356.554850132,1.37700638820874,1.36973180076628
