"","STATE","NAME"
"1",1,"Alabama"
"2",2,"Alaska"
"3",3,"Arizona"
"4",4,"Arkansas"
"5",5,"California"
"6",6,"Colorado"
"7",7,"Connecticut"
"8",8,"Delaware"
"9",10,"Florida East Coast"
"10",11,"Florida West Coast"
"11",12,"Florida Inland Lakes"
"12",13,"Georgia"
"13",14,"Hawaii"
"14",15,"Idaho"
"15",16,"Illinois"
"16",17,"Indiana"
"17",18,"Iowa"
"18",19,"Kansas"
"19",20,"Kentucky"
"20",21,"Louisiana"
"21",22,"Maine"
"22",23,"Maryland"
"23",24,"Massachusetts"
"24",25,"Michigan"
"25",26,"Minnesota"
"26",27,"Mississippi"
"27",28,"Missouri"
"28",29,"Montana"
"29",30,"Nebraska"
"30",31,"Nevada"
"31",32,"New Hampshire"
"32",33,"New Jersey"
"33",34,"New Mexico"
"34",35,"New York"
"35",36,"North Carolina"
"36",37,"North Dakota"
"37",38,"Ohio"
"38",39,"Oklahoma"
"39",40,"Oregon"
"40",41,"Pennsylvania"
"41",42,"Rhode Island"
"42",43,"South Carolina"
"43",44,"South Dakota"
"44",45,"Tennessee"
"45",46,"Texas"
"46",47,"Utah"
"47",48,"Vermont"
"48",49,"Virginia"
"49",50,"Washington"
"50",51,"West Virginia"
"51",52,"Wisconsin"
"52",53,"Wyoming"
"53",54,"Virgin Islands"
"54",55,"Puerto Rico"
"55",56,"American Samoa"
"56",99,"Combined States"
"57",9,"District of Columbia"
"58",98,"At-Sea Process, Pac."
"59",57,"Guam"
"60",58,"CNMI"
